osm_id,lat,lon,levels,height_tag,building_type,area_m2,perimeter_m,compactness,rectangularity,elongation,long_side_m,short_side_m,n_vertices,has_name,dsm_height_m
146873088,12.891689,77.582337,14,,residential,2960.7,285.1,0.4577,0.6173,0.6167,88.2,54.4,16,1,
146873096,12.895055,77.576936,20,,residential,5306.3,1097.1,0.0554,0.2393,0.4075,233.3,95.1,147,1,
146873099,12.891684,77.583133,15,,residential,1934.8,221.3,0.4963,0.6167,0.8639,60.3,52.1,21,1,
146873104,12.893409,77.58228,15,,other,1513.3,150.9,0.8353,0.975,0.9972,39.5,39.3,6,0,
147129312,12.937338,77.605376,5,,commercial,2758.3,220.4,0.7134,0.9993,0.5348,71.8,38.4,4,0,
147233194,12.957089,77.721374,4,,residential,2783.0,401.0,0.2175,0.774,0.2646,116.6,30.8,36,1,
147233199,12.956715,77.731513,1,,commercial,192.9,59.1,0.6945,0.9997,0.4921,19.8,9.7,4,1,
147380607,12.980078,77.751371,1,,commercial,426.6,86.1,0.7226,0.9987,0.5585,27.7,15.4,4,1,
147547114,12.967735,77.611273,4,,commercial,962.6,142.9,0.5928,0.5,0.8321,48.1,40.0,4,0,
148016872,12.963776,77.585728,2,10.0,other,1228.3,152.9,0.6605,0.909,0.5678,48.8,27.7,17,1,
148032600,13.028283,77.569697,2,,civic,7737.5,475.5,0.4301,0.8535,0.272,182.6,49.7,32,1,
148065734,12.972936,77.615527,6,,commercial,1125.3,136.6,0.7574,0.9985,0.6815,40.7,27.7,4,1,
148065737,12.973571,77.616016,4,,commercial,852.5,128.0,0.6539,0.6541,0.77,41.1,31.7,9,0,
148065739,12.972852,77.611242,8,,commercial,762.2,117.0,0.6999,0.8563,0.4224,45.9,19.4,15,1,
148065743,12.972687,77.616057,5,,commercial,2029.0,249.4,0.4098,0.5526,0.6135,77.4,47.5,7,0,
148075552,13.055066,77.596833,16,,residential,1664.9,195.0,0.5501,1.0,0.2925,75.4,22.1,4,0,
148075553,13.054423,77.595838,16,,residential,1691.3,195.5,0.556,0.9999,0.2983,75.3,22.5,4,0,
148075559,13.053898,77.597193,16,,residential,1355.9,164.5,0.63,0.9995,0.3843,59.4,22.8,4,0,
148075571,13.055069,77.595293,16,,residential,1704.6,194.2,0.568,1.0,0.3105,74.1,23.0,4,0,
148075578,13.055269,77.595917,16,,residential,1686.2,195.8,0.5528,0.9999,0.2952,75.6,22.3,4,0,
148075579,13.05456,77.59751,16,,residential,1673.6,190.3,0.5808,0.9955,0.324,72.0,23.3,4,0,
148586033,12.979474,77.751973,8,,commercial,988.5,144.0,0.599,0.9429,0.3903,51.8,20.2,8,0,
148925992,13.032084,77.580741,3,,civic,694.0,106.3,0.7725,0.9998,0.7727,30.0,23.2,4,1,
149418884,13.012294,77.556169,32,128.0,commercial,3825.3,305.6,0.5147,0.6528,0.5065,107.6,54.5,24,1,
149418892,13.013527,77.556024,9,,other,8333.9,373.6,0.7504,0.9408,0.586,123.0,72.0,19,1,
149418900,13.014213,77.555943,4,,civic,3160.0,242.0,0.678,0.8631,0.9958,60.6,60.4,10,0,
149516840,13.011852,77.556809,2,,commercial,1529.8,175.0,0.6281,0.8034,0.464,64.1,29.7,7,1,
149517581,13.01277,77.557745,9,,residential,1019.2,164.6,0.4728,0.5843,0.9997,41.8,41.8,28,1,
149517586,13.012757,77.556915,9,,residential,1040.5,165.4,0.4781,0.5887,0.999,42.1,42.0,28,1,
150212370,12.983244,77.736805,13,,commercial,3597.8,276.8,0.59,0.9155,0.4049,98.5,39.9,8,1,
150212371,12.985939,77.736822,14,,commercial,2076.0,203.9,0.6273,0.6831,0.9736,55.9,54.4,25,1,
150582724,12.981803,77.693976,8,,commercial,4841.5,301.7,0.6682,0.6739,0.6002,109.4,65.7,26,1,
150582726,12.993272,77.683798,15,,residential,1542.5,226.3,0.3787,0.5626,0.7737,59.5,46.1,12,0,
150582730,12.982447,77.693824,8,,commercial,4736.6,308.4,0.6257,0.8978,0.409,113.6,46.5,22,1,
150582735,12.993949,77.683598,15,,residential,2160.6,235.2,0.4909,0.6577,0.4296,87.4,37.6,14,0,
150582736,12.979836,77.693673,7,,civic,4802.0,359.3,0.4674,0.916,0.2477,145.5,36.0,8,0,
150582740,12.99373,77.683844,15,,residential,634.8,100.8,0.7849,0.9959,0.9457,26.0,24.6,4,0,
150582746,12.997333,77.695644,4,22.0,other,2806.3,240.5,0.6096,0.8742,0.5911,73.7,43.6,21,1,
150593030,12.996529,77.761472,2,,other,848.0,127.2,0.6585,0.8359,0.9389,32.9,30.9,11,1,
150593043,12.987968,77.740852,1,,industrial,3121.5,235.5,0.7075,0.9987,0.5204,77.5,40.3,4,0,
150593046,12.982865,77.721385,8,,residential,1175.5,122.2,0.9895,0.7845,0.9779,39.1,38.3,20,1,
150593061,12.983189,77.719974,8,,residential,7120.5,523.8,0.3261,0.9783,0.1358,231.5,31.4,8,0,
150593073,12.983446,77.718784,8,,residential,1112.3,118.9,0.9895,0.7845,0.9774,38.1,37.2,20,1,
152980574,12.957959,77.704091,9,,residential,2437.5,305.9,0.3273,0.6742,0.1993,134.7,26.8,11,0,
152980575,12.958334,77.705199,11,,residential,6290.9,790.2,0.1266,0.6455,0.1111,296.2,32.9,73,0,
152980583,12.960181,77.705534,11,,residential,1017.6,153.6,0.5422,0.7251,0.6384,46.9,29.9,12,0,
152980588,12.959873,77.705171,11,,residential,901.1,134.4,0.6271,0.8237,0.6973,39.6,27.6,8,0,
154081281,12.971725,77.605613,4,10.0,commercial,1689.3,175.6,0.6881,0.8045,0.4653,67.2,31.3,8,0,
154467767,12.925076,77.602228,7,,commercial,1995.9,178.8,0.7848,0.9934,0.9405,46.2,43.5,4,1,
155274504,12.86714,77.666632,4,,residential,11306.6,553.9,0.4631,0.6993,0.2871,237.3,68.1,8,1,
157204435,12.971869,77.751034,9,,residential,2018.0,352.4,0.2042,0.8717,0.169,117.0,19.8,54,1,
157571627,12.980725,77.600951,3,,commercial,911.4,159.1,0.4524,0.9992,0.2111,65.7,13.9,4,1,
159031341,12.972232,77.75077,5,,commercial,1016.1,140.6,0.6459,0.8818,0.5031,47.9,24.1,12,1,
159033879,12.983437,77.751891,5,,commercial,1719.6,179.8,0.6684,0.9886,0.4438,62.6,27.8,6,1,
159382857,12.917973,77.670109,12,,residential,708.9,139.1,0.4605,0.8779,0.5124,39.7,20.3,14,1,
159980947,12.916493,77.671275,5,,commercial,3674.0,268.3,0.6413,0.975,0.424,94.3,40.0,11,1,
160194064,12.983719,77.592295,3,,commercial,1040.9,154.9,0.5453,0.9986,0.2876,60.2,17.3,4,1,
160716619,12.918817,77.669949,2,,commercial,2218.1,198.3,0.709,0.886,0.5362,68.3,36.6,7,1,
161984940,12.964993,77.585818,5,,commercial,1420.1,216.4,0.3812,0.4826,0.7397,63.1,46.7,16,0,
163095698,13.035818,77.590271,3,,civic,2770.9,303.0,0.3793,0.5293,0.5625,96.5,54.3,14,0,
164083862,12.960105,77.649513,5,,commercial,1492.4,189.4,0.5229,0.6652,0.9563,48.4,46.3,8,1,
164210879,12.928702,77.632732,3,,commercial,1438.4,167.4,0.6453,0.9792,0.4048,60.2,24.4,4,1,
164210881,12.928976,77.632756,5,,commercial,1030.0,148.3,0.5889,0.9994,0.3332,55.6,18.5,4,1,
164210882,12.92747,77.632744,4,,commercial,2127.8,217.1,0.5672,0.9346,0.3163,84.8,26.8,4,0,
164570815,12.935926,77.628479,5,,commercial,305.2,74.5,0.6901,0.8216,0.8671,20.7,17.9,11,1,
164570817,12.936136,77.628386,8,,residential,418.5,79.3,0.8359,0.805,0.8832,24.3,21.4,15,1,
164603666,12.937205,77.627304,5,,commercial,391.3,80.9,0.7521,0.9954,0.656,24.5,16.1,4,0,
165830051,12.963518,77.68288,2,,other,1623.3,200.3,0.5083,0.6204,0.6718,62.4,41.9,22,0,
165830052,12.962896,77.682749,2,,other,2721.5,185.9,0.9893,0.7878,0.9892,59.1,58.5,19,0,
165830053,12.962915,77.683329,2,,other,2633.7,284.1,0.4099,0.6402,0.4562,95.0,43.3,27,0,
166560396,12.964909,77.637684,5,,other,175.1,53.7,0.7639,0.9958,0.7137,15.7,11.2,4,1,
166560414,12.961566,77.638082,3,,residential,167.4,67.2,0.4658,0.8315,0.5152,19.8,10.2,8,0,
166560417,12.964216,77.637809,4,,residential,165.6,53.2,0.7351,0.7768,0.7043,17.4,12.3,5,1,
166560420,12.964254,77.637326,3,,other,1722.9,218.8,0.4522,0.9108,0.2444,88.0,21.5,6,0,
166560424,12.962208,77.637361,2,,commercial,653.6,137.2,0.4364,0.7042,0.4248,46.7,19.9,8,0,
166611423,12.972856,77.564502,18,,residential,1168.4,238.0,0.2593,0.5891,0.6767,54.1,36.6,22,1,
166611424,12.973252,77.565822,18,,residential,1167.0,237.8,0.2594,0.5856,0.6737,54.4,36.6,22,1,
166611426,12.971867,77.563965,18,,residential,1161.6,237.9,0.258,0.597,0.6642,54.1,36.0,22,1,
166611427,12.97304,77.565079,18,,residential,1169.7,238.1,0.2592,0.5871,0.6737,54.4,36.6,22,1,
166611432,12.973022,77.563733,18,,residential,1168.3,238.0,0.2593,0.589,0.6767,54.1,36.6,22,1,
166611434,12.972411,77.563745,18,,residential,1168.7,238.0,0.2593,0.5893,0.6768,54.1,36.6,23,1,
166611435,12.971617,77.564437,18,,residential,1168.5,238.0,0.2593,0.5891,0.6767,54.1,36.6,22,1,
166613572,12.962131,77.641931,5,,other,255.1,64.1,0.7802,0.9999,0.8497,17.3,14.7,4,0,
166613574,12.962322,77.641358,1,,other,370.6,77.5,0.7762,0.9994,0.8052,21.5,17.3,4,1,
169806413,12.95853,77.526208,5,,other,341.9,78.5,0.6978,0.9978,0.4983,26.2,13.1,4,1,
169826259,12.970191,77.60036,3,,commercial,1430.6,153.2,0.7659,0.9739,0.9896,38.5,38.1,6,0,
169826563,12.966505,77.61315,4,,commercial,430.4,87.3,0.7092,0.6692,0.9704,25.7,25.0,12,0,
